gen,best,pop_mean,sigma,seed,val,val_ratio
54,27.240218181229576,28.53452448592734,1.469762811174817,1,,
55,26.733341726663696,28.092965118301088,1.4392293096749187,1,27.191763905218,1.0069511335575083
56,27.46086884476037,29.66937855204025,1.4401432604165194,1,,
57,26.913660311295548,28.710910803942475,1.4373128390686694,1,,
58,25.784222843396556,26.649057418509802,1.429857704552029,1,,
59,26.667516651117456,28.13820633589754,1.3927096593905457,1,,
60,27.056479666452447,27.968775420690115,1.35688979995035,1,27.19376934493178,1.007025397948745
61,27.303554728748534,29.0952751532764,1.3001730999510506,1,,
62,26.311548491272514,27.77050146718698,1.2627886968483588,1,,
63,26.57862944347874,27.739785643320136,1.2572853587770174,1,,
64,27.893852261006437,30.435838827776784,1.2398798095814467,1,,
65,27.42496366467916,27.595577040657922,1.201208067698324,1,27.19193545547496,1.0069574863166126
66,27.99764024326485,29.346304231332248,1.1798679056924413,1,,
67,27.236360053332305,27.940287358981756,1.150638237254898,1,,
68,26.356221043188246,26.673570507611352,1.1446001005725193,1,,
69,26.913802585823078,28.10013671405158,1.1479942657413884,1,,
70,27.45010298800597,29.13378039986908,1.1539808065424169,1,27.192852158863026,1.0069914331954897
71,27.228113267486993,27.555664894390166,1.1553176656205926,1,,
72,27.919493460315977,28.263803810502345,1.1674701295890961,1,,
73,28.072361197956255,30.293928554333583,1.1488047392976595,1,,
74,26.789341385512262,28.067512824015616,1.1339994349053337,1,,
75,26.520044288114818,28.338879580953495,1.0987277111559925,1,27.192436197429878,1.0069760295299501
76,28.20411805763478,29.412840406960626,1.0583851743318737,1,,
77,26.248231611167284,27.02957032036306,1.0083739675220371,1,,
78,25.194893352699367,25.758676285057597,0.973632350397793,1,,
79,25.378205082082385,26.315635077318646,0.9344677647920281,1,,
80,25.234596495218092,26.118050004650456,0.9098099897881001,1,27.190497687660606,1.006904243653301
81,26.535518281200474,27.776663919017032,0.9083741965741202,1,,
82,27.957484512273357,29.187501497482117,0.9262427618310163,1,,
83,26.07973961028059,27.459081900609604,0.9163916057074981,1,,
84,26.688126176134467,28.118722565154783,0.903454210466148,1,,
85,26.71157662097606,27.328248947134846,0.9029236303563405,1,27.190922282876826,1.0069199670405649
86,28.045798211907993,29.0317925788718,0.9003628381132982,1,,
87,27.442235141975686,28.468255983994325,0.8920790202056822,1,,
88,26.47099578264273,26.945390782319826,0.8740163931414981,1,,
89,26.446560042596044,27.525129803072282,0.8743013786192817,1,,
90,24.810556772537772,25.218230551901428,0.8808050929234497,1,27.19124081766353,1.0069317628536525
91,27.67108302982537,28.346173472768378,0.8859288596181629,1,,
92,27.315673175337665,28.995760852041172,0.8835856940045768,1,,
93,27.0456532691031,27.343476532033968,0.8916755231703327,1,,
94,25.959676302583667,26.984677720187236,0.9221558443642287,1,,
95,27.215144982156918,27.653050026118464,0.9650011196307009,1,27.191273586873848,1.0069329763458552
96,27.582097459121414,28.377219534525015,0.9906409355727973,1,,
97,27.322506251664244,28.104240920937837,1.0006713822710374,1,,
98,26.303016696763546,26.608682298277078,0.9958288372875084,1,,
99,28.172892582340012,28.84421543360276,0.9842676230238617,1,,
