dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,100,13,14.950000000000001,315.010078487548,445.0946188110952,276.02611553639497,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,14,14.81,397.546046645589,459.187491469181,240.63890812827512,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,15,14.73,484.19370302881265,524.1022861122864,240.81094031219342,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,16,15.0,332.7348028924572,365.4167893161398,257.4307644475627,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,17,14.64,339.37058358090036,651.1538895367227,246.94596215827744,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,18,14.77,377.8000823295799,464.37047313828975,238.7739051258193,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,19,14.86,537.954653055268,580.8627367781224,311.08620030483877,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,28,14.73,299.05036611186796,600.7755893262813,260.29564538132206,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,29,15.19,288.27064688295525,306.56808897240376,252.13167268545655,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,30,14.82,441.58619611308427,457.95657818765824,243.69554574933093,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,31,15.1,276.8185044308568,310.4022032073775,248.3425393443946,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,32,14.91,282.5822405151071,399.7461995492509,247.1159967679078,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,33,15.09,249.42797055470834,289.87573400999014,235.5920799374687,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,34,14.73,317.8581727013428,520.7268781925276,241.19106508713824,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,35,15.0,282.2376365825025,366.8476160707872,258.1223682382232,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,20,15.030000000000001,242.8694413069987,313.93677689852444,238.7357109244772,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,21,14.8,463.1739305785041,471.8093438557047,247.41281088652997,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,22,14.44,932.1942927195289,986.0771674924177,244.34179334735737,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,23,14.81,327.41100325378795,467.5525130965591,241.39349245917737,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,36,14.75,554.5952902171476,601.4943543836563,261.19438852509484,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,37,14.93,316.2669710081601,397.14337193167995,254.64204477187292,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,38,14.790000000000001,232.05960427216058,450.4468375434974,228.40553883298807,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,39,15.21,248.8757805590977,277.21308739615563,243.86804458733337,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,24,14.77,467.26978150837937,565.9817264956623,263.9627795644803,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,25,15.07,270.7763722979056,328.844242879332,251.2642020152554,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,26,15.200000000000001,258.5525982344791,287.756197066981,247.70185974764914,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,27,14.58,591.1731135827788,960.8251537529358,287.88486491795675,246.59908642224494,279.7048335461678,352.8057550150208
