dist,rho,n,trial,ell,empirical,truncated,true_gittins,fcfs,plcfs,true_paired
1-6-14,0.8,10,16,14.09,30.488429073147103,45.622502623930245,27.02858317223873,29.31315334077942,35.28057550150213,26.94347388180204
1-6-14,0.8,10,17,14.57,29.0956698783455,34.84257498783455,27.02858317223873,29.31315334077942,35.28057550150213,28.175314647201947
1-6-14,0.8,10,18,6.54,54.198391521451136,34.12415000509528,27.02858317223873,29.31315334077942,35.28057550150213,26.14454437990421
1-6-14,0.8,10,19,13.97,32.679129464746836,48.26492697337163,27.02858317223873,29.31315334077942,35.28057550150213,26.634166959324062
1-6-14,0.8,10,20,14.19,41.834509934815046,45.72564654833896,27.02858317223873,29.31315334077942,35.28057550150213,26.98189016728187
1-6-14,0.8,10,21,14.36,38.103512772610976,39.62886467936482,27.02858317223873,29.31315334077942,35.28057550150213,27.01365105795395
1-6-14,0.8,10,22,14.03,41.74773173482601,46.26077363298384,27.02858317223873,29.31315334077942,35.28057550150213,25.74154935460963
1-6-14,0.8,10,23,13.94,45.281170937524195,56.06598591004103,27.02858317223873,29.31315334077942,35.28057550150213,28.079649105829528
1-6-14,0.8,10,24,14.61,31.37289923312274,33.555965152779436,27.02858317223873,29.31315334077942,35.28057550150213,26.444991854412525
1-6-14,0.8,10,25,14.04,35.811306980126986,50.845943820887314,27.02858317223873,29.31315334077942,35.28057550150213,27.90734181196313
1-6-14,0.8,10,26,14.29,36.22690367538234,38.82358041440553,27.02858317223873,29.31315334077942,35.28057550150213,25.323191292550565
1-6-14,0.8,10,27,14.08,41.66128470321421,48.834757175256115,27.02858317223873,29.31315334077942,35.28057550150213,28.097904121373272
1-6-14,0.8,10,28,13.89,32.66309599730645,54.7041803489731,27.02858317223873,29.31315334077942,35.28057550150213,26.933047077697015
1-6-14,0.8,10,29,13.74,54.393797554347834,56.63900855179028,27.02858317223873,29.31315334077942,35.28057550150213,26.72540241368287
1-6-14,0.8,10,30,13.8,51.287249279044914,54.10571903926432,27.02858317223873,29.31315334077942,35.28057550150213,26.75414322302216
1-6-14,0.8,10,31,14.04,32.877647249518795,45.57130402188229,27.02858317223873,29.31315334077942,35.28057550150213,26.55672353358322
1-6-14,0.8,10,32,14.35,31.27673376558603,38.45384418952619,27.02858317223873,29.31315334077942,35.28057550150213,27.045695960099756
1-6-14,0.8,10,33,14.07,41.24986011730797,49.00575534638099,27.02858317223873,29.31315334077942,35.28057550150213,26.95595489085522
1-6-14,0.8,10,34,13.86,36.66897009097496,54.40034175992271,27.02858317223873,29.31315334077942,35.28057550150213,27.44003139843813
1-6-14,0.8,10,35,13.94,47.6675700572844,51.1292371110079,27.02858317223873,29.31315334077942,35.28057550150213,27.363600015482273
1-6-14,0.8,10,36,14.1,33.27161521690405,42.700203761436114,27.02858317223873,29.31315334077942,35.28057550150213,25.405159035800885
1-6-14,0.8,10,37,13.98,30.09222166819578,52.76272248593881,27.02858317223873,29.31315334077942,35.28057550150213,27.33861601978539
1-6-14,0.8,10,38,13.59,34.360343553112855,62.41651908309236,27.02858317223873,29.31315334077942,35.28057550150213,27.72156724563856
