gen,best,pop_mean,sigma,seed,val,tier,arch
47,0.8229460005727269,0.8231257111869943,78.89051321777087,2,,tail_only,linear
48,0.828073397267288,0.8282009974907385,92.45876969574212,2,,tail_only,linear
49,0.8179750927091225,0.8181776566395444,90.81341514875312,2,,tail_only,linear
50,0.8128606171745991,0.8128758080684783,97.8332647926198,2,0.813395529540551,tail_only,linear
51,0.8088977938382815,0.8089829407276132,87.58377108341352,2,,tail_only,linear
52,0.8187089910824934,0.818762837406773,74.60630208875028,2,,tail_only,linear
53,0.8141045691279545,0.814170097255574,102.66083797167802,2,,tail_only,linear
54,0.8136182528605662,0.8136501357259639,126.72475605145765,2,,tail_only,linear
55,0.8129383306266762,0.8130336156842801,107.28483397298643,2,,tail_only,linear
56,0.8200508615886792,0.8200831983538861,93.04340459469977,2,,tail_only,linear
57,0.813781220102174,0.813812725915614,96.13841005571405,2,,tail_only,linear
58,0.8166225237888995,0.8166569319286792,82.23544290786587,2,,tail_only,linear
59,0.8149457297044014,0.8149781091501302,77.87376096170091,2,,tail_only,linear
60,0.8203055026256492,0.8203310351919582,70.93285059319916,2,0.81338673118647,tail_only,linear
61,0.8190064521057581,0.8190231759607385,60.66698852983483,2,,tail_only,linear
62,0.8199237252442744,0.8199357418051041,61.98735523267208,2,,tail_only,linear
63,0.8147886824464632,0.8147976766274926,49.61854051933217,2,,tail_only,linear
64,0.8112314884798012,0.811243768473032,56.11721182000611,2,,tail_only,linear
65,0.8174569867067989,0.8174923275897908,51.8758609827532,2,,tail_only,linear
66,0.8267821678149928,0.8267944886425074,50.330706025007345,2,,tail_only,linear
67,0.8152865103682247,0.8152981655158259,55.42494992575829,2,,tail_only,linear
68,0.8179573188030687,0.8179609950893095,53.72944230048854,2,,tail_only,linear
69,0.8188614310263809,0.8188705190969665,57.02063777184093,2,,tail_only,linear
70,0.8223479820852555,0.8223735163734629,72.78421419648174,2,0.8133953954590412,tail_only,linear
71,0.8067343100792926,0.8067397513634125,67.34562374744382,2,,tail_only,linear
72,0.815876525803604,0.8158836073994084,106.5418131842988,2,,tail_only,linear
73,0.8135049431389758,0.8136517499490485,84.7105079451661,2,,tail_only,linear
74,0.8143389185723305,0.8143574292573905,78.22769138047113,2,,tail_only,linear
75,0.8156455626669161,0.8156577621273163,76.21819294335208,2,,tail_only,linear
76,0.8172756786785227,0.817286544593234,80.04483568929214,2,,tail_only,linear
77,0.8190242426620769,0.8190397921513348,63.97428626471541,2,,tail_only,linear
78,0.8130545410646701,0.813086620171327,63.24872009301381,2,,tail_only,linear
79,0.8124272311962735,0.8124290852418079,49.67936990366529,2,,tail_only,linear
80,0.8106986420692484,0.8107001964244167,55.833275457821735,2,0.8133884895443143,tail_only,linear
81,0.8126070074882027,0.8126117298738004,61.80681016532336,2,,tail_only,linear
82,0.8099923481846378,0.809996388914497,65.37727484479714,2,,tail_only,linear
83,0.8151477677249844,0.8151523784570365,55.03666765933913,2,,tail_only,linear
84,0.8150353323657105,0.815039324771301,48.77721707131712,2,,tail_only,linear
85,0.818310113306532,0.8183102491388416,49.83630732803605,2,,tail_only,linear
86,0.8233192995101357,0.8233195723288506,55.43749658311945,2,,tail_only,linear
87,0.8157531621365817,0.8157562008927917,44.96193089462378,2,,tail_only,linear
88,0.8099459606228792,0.8099467078717089,56.73198615053745,2,,tail_only,linear
89,0.814671562430156,0.8146766900074208,60.061528388093386,2,,tail_only,linear
90,0.8172216056902104,0.8172247792403408,53.9592732023788,2,0.8133884895443143,tail_only,linear
91,0.8199584955884714,0.8199602959070434,93.3819338573866,2,,tail_only,linear
